is_canceled,lead_time,country,market_segment,assigned_room_type,deposit_type,total_of_special_requests,reservation_status_date
0,25,EST,Online TA,A,No Deposit,1,2016-12-17
0,374,DEU,Offline TA/TO,A,No Deposit,1,2016-10-25
0,10,TUR,Online TA,A,No Deposit,0,2016-09-15
0,76,AUT,Online TA,D,No Deposit,1,2016-03-25
0,42,BRA,Online TA,D,No Deposit,2,2017-04-24
1,210,PRT,Online TA,E,No Deposit,2,2016-02-15
0,4,NLD,Online TA,A,No Deposit,1,2016-06-28
0,33,PRT,Offline TA/TO,A,No Deposit,0,2016-06-01
0,7,PRT,Online TA,A,No Deposit,1,2016-12-19
0,21,PRT,Corporate,A,No Deposit,0,2015-12-19
1,160,PRT,Offline TA/TO,A,No Deposit,0,2015-12-23
0,28,FRA,Offline TA/TO,A,No Deposit,2,2016-05-26
1,274,PRT,Groups,A,No Deposit,0,2015-07-06
1,155,USA,Online TA,A,No Deposit,1,2017-03-08
1,48,ESP,Online TA,E,No Deposit,0,2016-08-14
0,25,ESP,Online TA,G,No Deposit,1,2016-01-16
0,154,LUX,Offline TA/TO,B,No Deposit,0,2016-07-14
1,1,PRT,Groups,B,No Deposit,2,2015-12-29
1,364,PRT,Offline TA/TO,A,Non Refund,0,2015-07-06
0,18,PRT,Offline TA/TO,A,No Deposit,0,2016-12-12
1,21,KOR,Online TA,A,No Deposit,2,2016-12-16
1,15,PRT,Offline TA/TO,A,Non Refund,0,2017-02-02
0,22,GBR,Offline TA/TO,A,No Deposit,1,2017-03-23
1,80,PRT,Offline TA/TO,D,No Deposit,1,2017-07-15
1,25,PRT,Offline TA/TO,A,Non Refund,0,2015-11-17
0,164,FRA,Online TA,D,No Deposit,0,2015-11-16
0,69,DEU,Online TA,D,No Deposit,1,2016-05-17
0,3,ESP,Online TA,F,No Deposit,0,2016-05-22
1,206,PRT,Online TA,A,No Deposit,1,2015-08-31
1,157,PRT,Groups,A,Non Refund,0,2016-11-25
0,30,BRA,Online TA,B,No Deposit,0,2016-05-25
0,1,ESP,Online TA,A,No Deposit,0,2017-05-10
0,32,GBR,Groups,D,No Deposit,0,2016-04-26
0,53,CHN,Online TA,A,No Deposit,1,2016-06-09
1,246,PRT,Offline TA/TO,A,No Deposit,0,2015-06-17
1,304,PRT,Offline TA/TO,A,Non Refund,0,2016-02-01
0,127,AUT,Offline TA/TO,D,No Deposit,0,2017-07-28
0,0,ESP,Direct,A,No Deposit,0,2017-01-18
1,113,PRT,Offline TA/TO,A,No Deposit,0,2016-05-23
0,272,AUT,Online TA,F,No Deposit,2,2017-07-15
1,11,GBR,Online TA,A,No Deposit,1,2016-10-28
1,98,PRT,Groups,A,No Deposit,0,2015-11-23
1,292,PRT,Groups,A,Non Refund,0,2015-07-02
0,16,ESP,Online TA,A,No Deposit,1,2016-12-06
0,70,NLD,Online TA,A,No Deposit,0,2016-04-26
1,49,PRT,Offline TA/TO,D,No Deposit,0,2015-06-01
1,374,PRT,Groups,A,Non Refund,0,2015-07-23
1,289,AUS,Online TA,E,No Deposit,0,2017-04-19
1,108,PRT,Groups,A,Non Refund,0,2016-02-12
0,128,GBR,Online TA,D,No Deposit,2,2016-12-11
0,18,GBR,Offline TA/TO,A,No Deposit,0,2016-04-14
1,46,PRT,Offline TA/TO,A,No Deposit,0,2017-07-12
0,4,FRA,Online TA,A,No Deposit,2,2015-08-16
1,332,BEL,Online TA,A,No Deposit,0,2016-06-07
0,28,FRA,Offline TA/TO,D,No Deposit,0,2017-02-16
0,1,USA,Online TA,D,No Deposit,1,2015-10-14
0,53,GBR,Online TA,A,No Deposit,0,2015-10-12
1,260,PRT,Online TA,D,No Deposit,1,2015-08-24
0,166,GBR,Offline TA/TO,A,No Deposit,0,2016-08-31
0,76,DEU,Direct,A,No Deposit,0,2017-07-21
0,1,PRT,Online TA,F,No Deposit,2,2015-08-10
0,172,ESP,Online TA,A,No Deposit,2,2017-04-16
0,2,PRT,Offline TA/TO,A,No Deposit,0,2016-03-26
0,4,PRT,Offline TA/TO,A,No Deposit,2,2017-06-09
0,175,NLD,Offline TA/TO,A,No Deposit,2,2017-09-04
1,97,PRT,Groups,A,Non Refund,0,2015-07-03
0,2,PRT,Groups,D,No Deposit,0,2015-10-10
0,8,ESP,Online TA,H,No Deposit,1,2015-07-11
1,374,PRT,Groups,A,No Deposit,0,2015-07-30
0,36,ESP,Online TA,G,No Deposit,1,2016-06-12
1,262,PRT,Groups,A,Non Refund,0,2015-09-04
1,91,PRT,Groups,A,Non Refund,0,2016-02-03
0,50,FRA,Online TA,D,No Deposit,2,2016-04-15
0,32,FRA,Direct,A,No Deposit,2,2016-10-29
1,19,PRT,Offline TA/TO,A,Non Refund,0,2015-09-17
0,61,ESP,Offline TA/TO,B,No Deposit,1,2016-05-02
0,297,DEU,Direct,A,No Deposit,0,2017-07-25
0,131,USA,Online TA,A,No Deposit,1,2017-06-11
0,228,DEU,Direct,D,No Deposit,1,2016-09-26
1,330,PRT,Groups,A,Non Refund,0,2015-10-21
1,53,BRA,Online TA,A,No Deposit,0,2016-03-28
0,144,GBR,Online TA,A,No Deposit,1,2016-06-28
0,36,ESP,Offline TA/TO,D,No Deposit,0,2015-12-29
1,313,PRT,Offline TA/TO,A,Non Refund,0,2017-02-23
1,32,PRT,Groups,D,No Deposit,0,2016-03-18
1,374,PRT,Groups,A,Non Refund,0,2015-10-21
1,56,PRT,Offline TA/TO,A,Non Refund,0,2017-01-24
1,138,ARE,Online TA,D,No Deposit,0,2016-08-18
0,156,FRA,Online TA,A,No Deposit,0,2016-08-24
0,164,PRT,Offline TA/TO,A,No Deposit,0,2015-10-04
0,8,PRT,Corporate,D,No Deposit,1,2015-11-26
0,2,DEU,Direct,D,No Deposit,2,2016-11-20
1,374,PRT,Groups,A,Non Refund,0,2015-12-09
0,66,FRA,Offline TA/TO,D,No Deposit,0,2016-11-27
0,256,DEU,Online TA,A,No Deposit,0,2016-09-04
1,94,GBR,Online TA,A,No Deposit,0,2016-05-22
0,94,OTHER,Groups,A,No Deposit,0,2017-02-17
1,97,PRT,Groups,A,Non Refund,0,2015-07-03
0,56,ESP,Groups,A,No Deposit,0,2016-03-07
1,191,PRT,Online TA,A,No Deposit,0,2016-09-28
1,9,PRT,Online TA,F,No Deposit,1,2016-07-01
0,81,IRL,Direct,A,No Deposit,0,2016-11-02
1,150,PRT,Offline TA/TO,A,No Deposit,0,2015-12-14
0,210,PRT,Offline TA/TO,A,No Deposit,0,2017-08-26
0,374,GBR,Groups,A,No Deposit,1,2017-06-20
0,152,PRT,Online TA,D,No Deposit,2,2016-07-14
0,14,ESP,Online TA,B,No Deposit,2,2015-09-08
1,135,PRT,Groups,A,Non Refund,0,2016-12-07
0,36,DEU,Groups,B,No Deposit,0,2016-10-01
0,70,DEU,Offline TA/TO,D,No Deposit,0,2016-02-03
0,236,GBR,Groups,I,No Deposit,0,2016-05-15
0,1,ESP,Online TA,A,No Deposit,1,2017-02-06
1,316,PRT,Online TA,D,No Deposit,1,2017-01-09
0,200,IRL,Online TA,A,No Deposit,1,2015-10-05
1,277,PRT,Groups,A,Non Refund,0,2016-04-04
0,2,PRT,Direct,E,No Deposit,2,2015-08-10
0,242,DEU,Offline TA/TO,E,No Deposit,1,2017-05-15
0,4,FRA,Online TA,A,No Deposit,1,2016-02-11
1,56,PRT,Offline TA/TO,A,No Deposit,0,2016-06-02
1,253,USA,Online TA,A,No Deposit,0,2016-01-18
1,357,GBR,Online TA,A,No Deposit,1,2017-05-10
1,118,SWE,Online TA,A,No Deposit,0,2017-04-26
0,170,FRA,Offline TA/TO,E,No Deposit,0,2017-07-31
0,207,GBR,Offline TA/TO,A,No Deposit,0,2016-10-10
1,87,PRT,Groups,A,Non Refund,0,2017-01-18
1,37,PRT,Groups,A,Non Refund,0,2017-02-06
0,110,IRL,Online TA,A,No Deposit,1,2017-04-13
0,0,PRT,Online TA,A,No Deposit,1,2015-11-06
1,74,PRT,Offline TA/TO,A,Non Refund,0,2015-07-06
0,143,DEU,Offline TA/TO,E,No Deposit,0,2017-03-12
0,2,PRT,Online TA,A,No Deposit,0,2015-12-12
1,344,PRT,Groups,A,Non Refund,0,2015-10-21
1,43,AGO,Online TA,A,No Deposit,1,2016-11-14
0,100,NOR,Online TA,A,No Deposit,0,2017-08-08
1,92,PRT,Online TA,A,No Deposit,2,2015-06-23
1,215,CN,Online TA,A,No Deposit,1,2016-10-31
1,208,PRT,Groups,E,Non Refund,0,2016-03-18
0,158,ISR,Groups,D,No Deposit,1,2017-03-29
1,78,ESP,Groups,A,Non Refund,0,2015-08-14
0,49,PRT,Online TA,A,No Deposit,0,2015-08-02
0,0,DEU,Direct,E,No Deposit,0,2017-02-20
0,133,DEU,Online TA,A,No Deposit,2,2017-07-10
1,80,ESP,Online TA,A,No Deposit,0,2017-01-04
1,199,PRT,Groups,A,No Deposit,0,2016-04-18
1,40,DZA,Online TA,D,No Deposit,0,2016-06-12
1,2,PRT,Aviation,D,No Deposit,0,2016-11-02
0,13,DEU,Offline TA/TO,A,No Deposit,0,2016-03-31
0,5,USA,Online TA,A,No Deposit,1,2016-11-11
1,153,PRT,Groups,A,Non Refund,0,2015-05-19
0,54,DEU,Online TA,A,No Deposit,1,2016-02-13
0,10,PRT,Online TA,A,No Deposit,1,2017-02-13
1,23,PRT,Online TA,A,No Deposit,0,2016-07-30
0,235,PRT,Online TA,A,No Deposit,2,2016-08-08
0,242,FRA,Online TA,D,No Deposit,1,2016-11-01
1,185,AUT,Online TA,A,No Deposit,0,2016-11-08
1,16,ESP,Online TA,A,No Deposit,2,2016-10-24
1,229,PRT,Groups,A,Non Refund,0,2016-11-25
1,158,PRT,Groups,A,Non Refund,0,2016-01-18
0,17,USA,Groups,A,No Deposit,0,2015-09-30
0,149,CHE,Direct,C,No Deposit,0,2017-07-30
0,163,GBR,Online TA,C,No Deposit,1,2015-10-26
0,1,PRT,Direct,A,No Deposit,0,2016-08-12
0,81,PRT,Online TA,A,No Deposit,1,2016-04-08
0,91,DEU,Online TA,A,No Deposit,2,2017-04-06
0,122,PRT,Offline TA/TO,A,No Deposit,0,2016-04-17
1,143,BRA,Online TA,A,No Deposit,1,2016-08-15
0,120,FRA,Offline TA/TO,D,No Deposit,1,2015-08-11
1,113,PRT,Offline TA/TO,A,Non Refund,0,2015-12-18
1,374,PRT,Groups,A,Non Refund,0,2015-08-10
1,374,PRT,Groups,A,Non Refund,0,2015-10-21
0,71,NOR,Online TA,D,No Deposit,1,2017-07-10
0,7,GBR,Groups,A,No Deposit,0,2017-03-06
1,151,PRT,Groups,A,Non Refund,0,2015-07-09
1,277,PRT,Groups,A,Non Refund,0,2016-04-04
1,169,PRT,Offline TA/TO,A,Non Refund,0,2016-12-21
0,158,AUT,Online TA,D,No Deposit,1,2016-05-29
1,50,ESP,Online TA,E,No Deposit,1,2016-10-19
0,0,PRT,Direct,B,No Deposit,0,2017-07-03
0,73,NLD,Online TA,A,No Deposit,0,2017-07-28
0,0,GBR,Offline TA/TO,E,No Deposit,2,2016-04-29
0,0,PRT,Online TA,A,No Deposit,0,2017-05-07
1,316,PRT,Groups,A,Non Refund,0,2015-10-22
0,158,ISR,Groups,A,No Deposit,0,2017-03-29
1,43,GBR,Online TA,A,No Deposit,0,2017-01-05
1,364,PRT,Offline TA/TO,A,Non Refund,0,2015-07-06
1,219,PRT,Offline TA/TO,A,Non Refund,0,2015-11-20
1,288,PRT,Groups,A,No Deposit,0,2016-03-14
0,162,ESP,Groups,A,No Deposit,0,2016-03-27
0,97,IRL,Online TA,D,No Deposit,1,2016-08-08
1,21,MAR,Online TA,E,No Deposit,1,2017-06-29
0,214,ESP,Groups,D,No Deposit,0,2016-11-23
0,1,USA,Online TA,A,No Deposit,1,2016-12-31
0,18,ESP,Direct,D,No Deposit,0,2017-02-19
0,142,FRA,Online TA,D,No Deposit,0,2016-05-09
0,99,BEL,Online TA,A,No Deposit,2,2017-06-03
1,320,FRA,Online TA,A,No Deposit,0,2016-08-18
1,211,PRT,Offline TA/TO,A,Non Refund,0,2016-03-18
1,198,AUT,Online TA,D,No Deposit,0,2016-08-02
0,37,GBR,Offline TA/TO,G,No Deposit,1,2016-06-30
1,374,PRT,Groups,A,Non Refund,0,2017-05-05
1,27,ITA,Online TA,D,No Deposit,0,2017-01-29
1,110,ITA,Offline TA/TO,A,No Deposit,0,2015-07-16
1,129,PRT,Groups,A,Non Refund,0,2017-01-24
1,275,PRT,Offline TA/TO,A,Non Refund,0,2015-01-30
0,152,PRT,Online TA,A,No Deposit,2,2016-07-13
0,43,FRA,Online TA,A,No Deposit,1,2017-06-18
0,19,PRT,Direct,D,No Deposit,2,2016-02-14
0,107,ESP,Offline TA/TO,A,No Deposit,0,2016-06-12
1,16,OTHER,Direct,D,No Deposit,0,2016-02-27
1,281,PRT,Groups,A,Non Refund,0,2015-10-21
0,1,ESP,Online TA,A,No Deposit,0,2017-08-28
1,88,ESP,Online TA,A,No Deposit,0,2017-03-28
0,4,PRT,Corporate,D,No Deposit,0,2016-08-24
0,111,AUT,Online TA,D,No Deposit,0,2017-05-17
0,74,PRT,Offline TA/TO,A,No Deposit,0,2015-09-20
1,190,CHE,Direct,D,No Deposit,0,2017-07-03
0,11,ESP,Offline TA/TO,D,No Deposit,0,2015-12-08
1,46,PRT,Online TA,D,No Deposit,0,2017-01-29
0,240,GBR,Offline TA/TO,E,No Deposit,2,2016-10-28
1,279,PRT,Groups,A,No Deposit,0,2015-01-01
1,2,PRT,Direct,A,No Deposit,0,2015-11-09
0,54,ESP,Online TA,A,No Deposit,1,2015-08-23
0,9,FRA,Direct,A,No Deposit,0,2017-02-12
0,64,BEL,Online TA,D,No Deposit,2,2016-11-03
1,374,PRT,Groups,A,Non Refund,0,2015-10-21
1,23,NLD,Online TA,A,No Deposit,0,2016-01-24
0,30,ESP,Direct,G,No Deposit,2,2015-08-29
0,4,CZE,Online TA,A,No Deposit,2,2017-04-15
1,84,ITA,Online TA,D,No Deposit,0,2017-04-24
1,92,PRT,Groups,A,Non Refund,0,2016-11-15
0,4,FRA,Online TA,D,No Deposit,1,2016-09-16
1,32,FRA,Online TA,A,No Deposit,1,2016-10-17
0,0,FIN,Direct,E,No Deposit,0,2017-02-23
0,8,ESP,Online TA,A,No Deposit,1,2017-04-17
0,73,CN,Direct,A,No Deposit,1,2016-07-13
1,184,PRT,Groups,A,Non Refund,0,2016-11-25
1,85,PRT,Online TA,A,No Deposit,0,2015-05-20
0,11,PRT,Online TA,H,No Deposit,0,2016-01-17
0,4,JPN,Online TA,D,No Deposit,1,2016-07-30
0,26,ITA,Online TA,A,No Deposit,1,2015-11-07
0,36,FRA,Online TA,D,No Deposit,0,2017-03-18
1,55,DEU,Online TA,D,No Deposit,2,2016-09-17
1,135,PRT,Groups,A,Non Refund,0,2017-02-15
0,130,GBR,Offline TA/TO,A,No Deposit,0,2016-09-06
0,25,GBR,Direct,G,No Deposit,0,2017-01-08
0,248,DEU,Groups,A,No Deposit,1,2017-04-11
1,92,PRT,Groups,A,Non Refund,0,2015-12-10
1,233,PRT,Groups,A,No Deposit,0,2015-10-21
1,131,PRT,Online TA,A,No Deposit,0,2016-06-13
0,183,FRA,Offline TA/TO,A,No Deposit,1,2016-09-11
1,355,PRT,Groups,A,Non Refund,0,2015-07-02
0,61,DEU,Offline TA/TO,A,No Deposit,0,2017-01-13
1,96,PRT,Groups,A,Non Refund,0,2017-01-20
0,150,NLD,Online TA,D,No Deposit,2,2016-06-20
0,181,FRA,Offline TA/TO,A,No Deposit,0,2016-10-13
0,6,RUS,Online TA,D,No Deposit,1,2016-01-02
0,39,DEU,Offline TA/TO,D,No Deposit,0,2015-08-16
0,19,DEU,Online TA,D,No Deposit,1,2017-05-19
1,286,PRT,Groups,A,Non Refund,0,2015-01-01
1,37,PRT,Offline TA/TO,A,No Deposit,0,2016-09-06
0,102,DEU,Offline TA/TO,A,No Deposit,0,2015-10-18
1,280,PRT,Offline TA/TO,A,Non Refund,0,2016-01-18
0,1,ESP,Direct,A,No Deposit,1,2017-02-28
1,59,PRT,Groups,A,Non Refund,0,2016-11-25
0,50,PRT,Direct,A,No Deposit,1,2017-02-28
1,37,ITA,Online TA,D,No Deposit,0,2016-05-27
1,330,PRT,Groups,A,No Deposit,0,2015-01-01
1,50,PRT,Groups,A,Non Refund,0,2015-10-07
0,25,FRA,Online TA,A,No Deposit,1,2017-08-17
0,151,CHE,Direct,F,No Deposit,0,2016-07-05
1,6,PRT,Online TA,D,No Deposit,0,2015-12-01
1,153,USA,Online TA,A,No Deposit,0,2017-05-17
1,70,PRT,Online TA,D,No Deposit,0,2016-07-07
0,62,GBR,Online TA,A,No Deposit,0,2016-05-20
0,104,FRA,Offline TA/TO,A,No Deposit,0,2017-03-26
0,83,PRT,Offline TA/TO,A,No Deposit,0,2015-10-01
0,69,CHE,Online TA,D,No Deposit,1,2017-04-09
0,5,PRT,Online TA,A,No Deposit,1,2016-08-29
1,77,PRT,Online TA,A,No Deposit,0,2015-05-21
0,167,GBR,Offline TA/TO,D,No Deposit,2,2015-10-01
0,72,AUT,Online TA,D,No Deposit,0,2016-06-04
0,3,PRT,Online TA,A,No Deposit,0,2017-01-25
1,256,PRT,Online TA,G,No Deposit,1,2015-07-27
0,109,PRT,Online TA,A,No Deposit,1,2015-07-12
0,4,ESP,Online TA,A,No Deposit,2,2015-08-21
0,13,FRA,Offline TA/TO,D,No Deposit,1,2015-10-09
1,2,ESP,Online TA,A,No Deposit,1,2017-02-26
1,265,PRT,Groups,A,No Deposit,0,2015-01-01
0,3,PRT,Corporate,D,No Deposit,0,2016-09-23
1,105,PRT,Offline TA/TO,A,Non Refund,0,2016-01-18
0,178,DNK,Direct,E,No Deposit,2,2017-07-20
0,29,DEU,Corporate,A,No Deposit,1,2016-12-04
0,61,IRL,Offline TA/TO,D,No Deposit,1,2016-03-18
1,82,USA,Online TA,A,No Deposit,0,2017-02-24
1,111,PRT,Online TA,A,No Deposit,1,2015-07-20
0,61,FRA,Direct,A,No Deposit,0,2016-12-19
1,197,GBR,Online TA,A,No Deposit,2,2016-09-25
1,86,PRT,Groups,A,Non Refund,0,2016-12-13
0,247,DEU,Offline TA/TO,F,No Deposit,1,2016-06-08
1,280,ITA,Online TA,A,No Deposit,0,2016-11-09
0,27,PRT,Online TA,E,No Deposit,2,2016-07-24
1,41,IRL,Online TA,E,No Deposit,1,2016-08-26
1,78,PRT,Groups,A,Non Refund,0,2017-02-10
0,19,ESP,Online TA,A,No Deposit,0,2017-09-03
0,220,ITA,Offline TA/TO,A,No Deposit,0,2016-09-20
0,133,GBR,Direct,D,No Deposit,0,2016-10-27
0,213,DEU,Groups,A,No Deposit,0,2016-05-18
0,23,ITA,Offline TA/TO,A,No Deposit,0,2016-01-05
1,238,PRT,Groups,A,Non Refund,0,2016-12-15
1,39,GBR,Online TA,A,No Deposit,0,2017-07-11
1,195,PRT,Offline TA/TO,A,No Deposit,0,2015-07-23
1,47,ESP,Online TA,A,No Deposit,0,2016-03-21
1,58,PRT,Offline TA/TO,A,No Deposit,0,2016-01-07
0,49,OTHER,Online TA,A,No Deposit,0,2017-04-18
1,349,PRT,Online TA,A,No Deposit,2,2016-06-21
0,0,PRT,Direct,E,No Deposit,0,2017-04-09
0,3,DEU,Online TA,E,No Deposit,2,2015-10-12
0,27,FRA,Online TA,D,No Deposit,1,2017-03-17
1,38,PRT,Corporate,A,Non Refund,0,2016-12-07
1,61,DEU,Online TA,A,No Deposit,1,2017-03-26
0,154,GBR,Offline TA/TO,A,No Deposit,1,2017-08-28
0,183,RUS,Online TA,F,No Deposit,1,2017-01-07
0,105,AUT,Online TA,A,No Deposit,1,2017-08-18
1,194,FRA,Online TA,A,No Deposit,2,2017-04-21
0,4,PRT,Direct,D,No Deposit,2,2016-02-14
0,1,ESP,Online TA,G,No Deposit,1,2016-12-18
1,6,PRT,Corporate,A,No Deposit,1,2016-11-23
0,82,GBR,Direct,F,No Deposit,2,2017-07-31
1,174,PRT,Offline TA/TO,A,Non Refund,0,2015-08-31
0,22,ITA,Online TA,A,No Deposit,1,2017-04-25
1,272,PRT,Groups,A,No Deposit,0,2015-01-01
0,0,AGO,Direct,F,No Deposit,0,2017-05-20
0,34,DEU,Online TA,A,No Deposit,0,2016-11-10
1,139,PRT,Online TA,D,No Deposit,1,2016-03-08
0,14,DEU,Online TA,A,No Deposit,2,2016-07-07
1,237,RUS,Online TA,E,No Deposit,0,2016-12-29
0,46,AUT,Online TA,E,No Deposit,2,2016-07-28
1,86,DEU,Online TA,D,No Deposit,2,2016-11-30
1,265,PRT,Groups,A,Non Refund,0,2015-07-30
1,52,ITA,Online TA,A,No Deposit,2,2016-12-22
0,47,POL,Online TA,A,No Deposit,2,2016-11-24
1,47,IRL,Online TA,E,No Deposit,1,2017-05-17
0,2,ESP,Groups,A,No Deposit,0,2017-02-25
0,199,DEU,Groups,A,No Deposit,0,2016-05-04
0,99,BRA,Online TA,D,No Deposit,0,2017-06-10
0,246,DEU,Online TA,A,No Deposit,1,2017-07-11
1,97,AUS,Online TA,D,No Deposit,2,2017-04-06
1,250,ESP,Direct,A,No Deposit,0,2017-05-29
1,106,PRT,Groups,A,Non Refund,0,2016-01-22
0,4,PRT,Offline TA/TO,A,No Deposit,0,2016-09-21
0,54,CN,Direct,A,No Deposit,2,2015-09-12
1,179,ESP,Online TA,B,No Deposit,0,2016-09-01
0,127,CN,Offline TA/TO,A,No Deposit,1,2017-08-23
0,74,PRT,Online TA,G,No Deposit,1,2017-04-06
1,12,PRT,Direct,A,No Deposit,0,2016-07-13
0,21,PRT,Online TA,D,No Deposit,2,2017-05-31
0,0,USA,Online TA,A,No Deposit,0,2017-01-10
1,80,PRT,Online TA,C,No Deposit,1,2015-07-21
1,57,PRT,Groups,D,No Deposit,0,2017-01-26
1,69,PRT,Offline TA/TO,A,Non Refund,0,2016-05-04
0,95,DEU,Offline TA/TO,A,No Deposit,0,2017-03-30
1,16,PRT,Direct,A,No Deposit,0,2015-07-23
0,50,ESP,Online TA,A,No Deposit,0,2016-12-08
1,2,PRT,Groups,A,No Deposit,0,2017-02-20
0,23,RUS,Online TA,A,No Deposit,1,2017-08-07
1,2,PRT,Corporate,A,No Deposit,0,2015-10-12
0,3,ISR,Online TA,A,No Deposit,1,2016-03-28
0,23,GBR,Groups,D,No Deposit,0,2017-04-23
0,103,FIN,Online TA,A,No Deposit,2,2016-11-11
0,168,GBR,Online TA,A,No Deposit,0,2017-05-17
0,260,FRA,Online TA,A,No Deposit,2,2016-10-29
1,99,PRT,Online TA,E,No Deposit,2,2015-08-26
0,192,PRT,Offline TA/TO,A,No Deposit,0,2016-06-26
1,273,PRT,Offline TA/TO,A,No Deposit,0,2015-07-06
0,10,POL,Online TA,F,No Deposit,1,2016-03-15
1,41,PRT,Online TA,G,No Deposit,0,2016-03-11
0,21,SWE,Online TA,A,No Deposit,0,2015-09-05
0,6,PRT,Direct,F,No Deposit,0,2016-11-26
0,234,GBR,Offline TA/TO,A,No Deposit,2,2016-10-30
1,3,PRT,Corporate,A,No Deposit,0,2015-08-17
0,0,GBR,Direct,E,No Deposit,0,2017-07-16
0,6,CHN,Online TA,E,No Deposit,2,2017-07-16
0,5,GBR,Complementary,E,No Deposit,2,2017-05-16
1,6,PRT,Corporate,A,Non Refund,0,2015-09-15
0,156,IRL,Groups,A,No Deposit,1,2017-05-15
0,229,IRL,Online TA,D,No Deposit,2,2017-04-03
1,134,PRT,Offline TA/TO,D,No Deposit,1,2017-03-10
0,0,PRT,Corporate,A,No Deposit,0,2015-10-15
0,8,FRA,Online TA,D,No Deposit,1,2016-04-20
0,33,PRT,Direct,A,No Deposit,2,2017-06-11
0,13,PRT,Offline TA/TO,A,No Deposit,1,2016-03-21
1,115,PRT,Offline TA/TO,A,Non Refund,0,2017-01-23
0,22,ESP,Online TA,C,No Deposit,2,2017-08-28
0,63,FRA,Online TA,F,No Deposit,1,2016-04-17
0,9,PRT,Online TA,A,No Deposit,1,2015-10-19
1,374,PRT,Groups,A,No Deposit,1,2017-06-21
0,8,ESP,Online TA,A,No Deposit,1,2015-07-21
1,330,PRT,Groups,A,No Deposit,0,2015-07-06
0,212,GBR,Online TA,A,No Deposit,1,2016-09-30
0,109,GBR,Offline TA/TO,D,No Deposit,1,2016-03-11
0,86,CHE,Online TA,G,No Deposit,1,2016-10-23
0,79,FRA,Online TA,D,No Deposit,1,2017-04-28
1,221,PRT,Offline TA/TO,A,Non Refund,0,2015-11-17
1,256,PRT,Online TA,A,No Deposit,1,2015-12-30
0,9,ESP,Direct,A,No Deposit,0,2015-08-25
0,207,PRT,Online TA,D,No Deposit,0,2016-08-15
1,147,PRT,Offline TA/TO,E,No Deposit,0,2016-03-04
0,10,GBR,Groups,A,No Deposit,0,2016-10-11
1,32,PRT,Groups,D,No Deposit,0,2016-03-18
0,88,FIN,Offline TA/TO,F,No Deposit,1,2016-04-22
1,11,PRT,Offline TA/TO,A,No Deposit,0,2015-11-27
0,320,DEU,Offline TA/TO,A,No Deposit,1,2016-08-20
1,153,PRT,Groups,A,Non Refund,0,2015-05-19
0,107,PRT,Online TA,A,No Deposit,2,2015-07-09
1,177,IRL,Online TA,A,No Deposit,0,2017-03-22
0,20,ESP,Groups,A,No Deposit,0,2017-05-25
0,12,LTU,Offline TA/TO,D,No Deposit,0,2016-01-31
1,19,IRL,Online TA,H,No Deposit,1,2016-12-27
